GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
255738	5.54e-75	2.93e-79	0.0679	-18.850099	-1.2797748	1351.63	PCSK9	proprotein convertase subtilisin/kexin type 9
6721	4.32e-73	4.57e-77	0.0389	-18.581129	-0.7235806	6061.89	SREBF2	sterol regulatory element binding transcription factor 2
2353	1.60e-62	2.54e-66	0.0928	-17.20253	-1.5968291	430.28	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
84458	2.87e-51	6.08e-55	0.0339	-15.611459	-0.5297822	4800.39	LCOR	ligand dependent nuclear receptor corepressor
23764	4.71e-48	1.25e-51	0.0717	-15.117284	-1.0837796	516.66	MAFF	MAF bZIP transcription factor F
134429	1.07e-44	3.40e-48	0.0765	-14.587049	-1.1159858	1080.89	STARD4	StAR related lipid transfer domain containing 4
6720	1.13e-41	4.17e-45	0.0552	-14.093419	-0.7782471	6441.75	SREBF1	sterol regulatory element binding transcription factor 1
23112	2.68e-40	1.13e-43	0.0419	-13.858231	-0.5802956	4154.38	TNRC6B	trinucleotide repeat containing adaptor 6B
151011	4.54e-39	2.16e-42	0.0365	-13.645077	-0.4981984	4237.29	SEPTIN10	septin 10
94241	7.12e-39	3.77e-42	0.0427	13.604503	0.5803536	2081.69	TP53INP1	tumor protein p53 inducible nuclear protein 1
9021	1.54e-36	8.99e-40	0.0877	-13.198184	-1.1580714	873.75	SOCS3	suppressor of cytokine signaling 3
11156	2.65e-36	1.68e-39	0.0837	-13.150753	-1.1010061	484.42	PTP4A3	protein tyrosine phosphatase 4A3
440829	1.03e-35	7.08e-39	0.0443	-13.041793	-0.5774554	1165.63	SHISA8	shisa family member 8
79834	1.13e-35	8.35e-39	0.0435	-13.029163	-0.5663372	3295.89	PEAK1	pseudopodium enriched atypical kinase 1
552889	1.26e-35	9.96e-39	0.0354	13.015706	0.4607225	3763.06	ATXN7L3B	ataxin 7 like 3B
9334	1.14e-34	9.65e-38	0.054	12.841086	0.6929938	9646.48	B4GALT5	beta-1,4-galactosyltransferase 5
857	3.06e-34	2.75e-37	0.035	12.759719	0.4460986	8150.79	CAV1	caveolin 1
113675	1.01e-33	9.57e-37	0.0719	12.662233	0.9109078	756.87	SDSL	serine dehydratase like
54852	1.12e-33	1.12e-36	0.0543	-12.649682	-0.6866348	1227.06	PAQR5	progestin and adipoQ receptor family member 5
25932	2.39e-33	2.53e-36	0.0393	-12.585739	-0.4946318	4710.45	CLIC4	chloride intracellular channel 4
9703	1.74e-32	1.93e-35	0.0245	12.424276	0.3048435	10508.66	BLTP2	bridge-like lipid transfer protein family member 2
8853	2.08e-32	2.42e-35	0.0584	-12.406288	-0.7240511	1721.95	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
3162	1.92e-31	2.34e-34	0.0735	12.223162	0.8979244	996.85	HMOX1	heme oxygenase 1
22943	1.26e-30	1.60e-33	0.1153	-12.066101	-1.3908821	3867.75	DKK1	dickkopf WNT signaling pathway inhibitor 1
9509	2.27e-30	3.00e-33	0.0909	-12.013968	-1.0922339	335.04	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
494470	2.78e-30	3.83e-33	0.0912	-11.993854	-1.0938426	294.12	RNF165	ring finger protein 165
4054	7.89e-30	1.13e-32	0.0338	11.904094	0.4018749	8452.17	LTBP3	latent transforming growth factor beta binding protein 3
57834	1.18e-29	1.74e-32	0.0523	-11.867721	-0.6204973	698.48	CYP4F11	cytochrome P450 family 4 subfamily F member 11
7015	2.53e-28	3.89e-31	0.0704	-11.604973	-0.8172481	360.31	TERT	telomerase reverse transcriptase
196527	1.03e-27	1.63e-30	0.0556	-11.481809	-0.6389204	3062.39	ANO6	anoctamin 6
652	1.48e-27	2.43e-30	0.0447	11.447138	0.5115494	6030.36	BMP4	bone morphogenetic protein 4
11282	4.30e-27	7.28e-30	0.0505	11.351563	0.573699	4142.5	MGAT4B	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
2005	4.76e-27	8.30e-30	0.0569	-11.340118	-0.6454364	3434.2	ELK4	ETS transcription factor ELK4
55654	8.39e-27	1.51e-29	0.0438	11.287722	0.4949182	2166.66	TMEM127	transmembrane protein 127
25921	1.20e-26	2.21e-29	0.0327	11.254008	0.3676943	3867.78	ZDHHC5	zinc finger DHHC-type palmitoyltransferase 5
10439	2.20e-26	4.19e-29	0.1124	-11.197519	-1.2583057	218.21	OLFM1	olfactomedin 1
6542	4.15e-26	8.55e-29	0.0546	-11.134236	-0.6082344	1052.82	SLC7A2	solute carrier family 7 member 2
144132	4.15e-26	8.57e-29	0.0691	-11.133998	-0.7694873	963.52	DNHD1	dynein heavy chain domain 1
29068	4.15e-26	8.47e-29	0.0396	-11.135022	-0.4407115	1500.02	ZBTB44	zinc finger and BTB domain containing 44
55333	6.96e-26	1.47e-28	0.0736	11.085659	0.8160581	1753.83	SYNJ2BP	synaptojanin 2 binding protein
57509	8.77e-26	1.90e-28	0.0511	11.062754	0.5649626	7966.11	MTUS1	microtubule associated scaffold protein 1
7087	9.71e-26	2.16e-28	0.0742	-11.051388	-0.8204956	1689.08	ICAM5	intercellular adhesion molecule 5
602	1.54e-25	3.51e-28	0.0765	-11.007586	-0.8418651	807.41	BCL3	BCL3 transcription coactivator
51809	2.02e-25	4.71e-28	0.0437	10.981163	0.4800898	1505.42	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
79646	2.34e-25	5.56e-28	0.0442	-10.966089	-0.4849782	4110.61	PANK3	pantothenate kinase 3
3726	4.78e-25	1.19e-27	0.0808	-10.897242	-0.8805239	3454.48	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit
7538	4.78e-25	1.19e-27	0.0937	-10.89733	-1.0208389	1692.05	ZFP36	ZFP36 ring finger protein
794	9.68e-25	2.46e-27	0.1072	-10.830837	-1.1611526	149.96	CALB2	calbindin 2
153222	1.66e-23	4.30e-26	0.0723	-10.56555	-0.763811	481.28	CREBRF	CREB3 regulatory factor
1019	1.98e-23	5.25e-26	0.035	10.546951	0.3692835	4772.09	CDK4	cyclin dependent kinase 4
1604	2.96e-23	7.99e-26	0.0673	-10.507403	-0.707286	1048.12	CD55	CD55 molecule (Cromer blood group)
4124	6.22e-23	1.71e-25	0.046	-10.43521	-0.4799105	2265.56	MAN2A1	mannosidase alpha class 2A member 1
55876	6.98e-23	1.96e-25	0.0687	-10.422519	-0.7157623	1048.19	GSDMB	gasdermin B
