GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description,Direction,Significant
255738,5.540000000000001e-75,2.9300000000000005e-79,0.0679,-18.850099,-1.2797748,1351.63,PCSK9,proprotein convertase subtilisin/kexin type 9,Downregulated,True
2353,1.5999999999999999e-62,2.54e-66,0.0928,-17.20253,-1.5968291,430.28,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",Downregulated,True
23764,4.71e-48,1.25e-51,0.0717,-15.117284,-1.0837796,516.66,MAFF,MAF bZIP transcription factor F,Downregulated,True
134429,1.07e-44,3.3999999999999997e-48,0.0765,-14.587049,-1.1159858,1080.89,STARD4,StAR related lipid transfer domain containing 4,Downregulated,True
9021,1.54e-36,8.99e-40,0.0877,-13.198184,-1.1580714,873.75,SOCS3,suppressor of cytokine signaling 3,Downregulated,True
11156,2.65e-36,1.68e-39,0.0837,-13.150753,-1.1010061,484.42,PTP4A3,protein tyrosine phosphatase 4A3,Downregulated,True
22943,1.2599999999999999e-30,1.6e-33,0.1153,-12.066101,-1.3908821,3867.75,DKK1,dickkopf WNT signaling pathway inhibitor 1,Downregulated,True
9509,2.27e-30,3e-33,0.0909,-12.013968,-1.0922339,335.04,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,Downregulated,True
494470,2.78e-30,3.83e-33,0.0912,-11.993854,-1.0938426,294.12,RNF165,ring finger protein 165,Downregulated,True
10439,2.2e-26,4.19e-29,0.1124,-11.197519,-1.2583057,218.21,OLFM1,olfactomedin 1,Downregulated,True
7538,4.78e-25,1.1900000000000001e-27,0.0937,-10.89733,-1.0208389,1692.05,ZFP36,ZFP36 ring finger protein,Downregulated,True
794,9.68e-25,2.46e-27,0.1072,-10.830837,-1.1611526,149.96,CALB2,calbindin 2,Downregulated,True
90271,1.08e-21,3.38e-24,0.1207,-10.148047,-1.2253253,685.64,OLMALINC,oligodendrocyte maturation-associated long intergenic non-coding RNA,Downregulated,True
3638,1.9e-20,7.24e-23,0.1321,-9.844535,-1.3000199,1204.9,INSIG1,insulin induced gene 1,Downregulated,True
3017,2.96e-20,1.17e-22,0.1407,9.795881,1.3785912,209.13,H2BC5,H2B clustered histone 5,Upregulated,True
8771,2.53e-19,1.1100000000000001e-21,0.1534,-9.565863,-1.467489,1334.52,TNFRSF6B,TNF receptor superfamily member 6b,Downregulated,True
56953,8.87e-19,4.22e-21,0.111,-9.426903,-1.0466578,176.97,NT5M,"5',3'-nucleotidase, mitochondrial",Downregulated,True
375791,1.88e-18,9.240000000000001e-21,0.1198,9.344427,1.1195318,121.75,CYSRT1,cysteine rich tail 1,Upregulated,True
3886,1.05e-17,5.72e-20,0.2222,9.149408,2.0326771,40.38,KRT35,keratin 35,Upregulated,True
388697,5.48e-17,3.22e-19,0.348,8.960909,3.1186733,70.61,HRNR,hornerin,Upregulated,True
85236,8.89e-17,5.5e-19,0.1253,8.901645,1.1157296,532.93,H2BC12,H2B clustered histone 12,Upregulated,True
2298,8.5e-16,6.22e-18,0.1186,8.628459,1.0229871,111.94,FOXD4,forkhead box D4,Upregulated,True
8334,1.55e-13,1.55e-15,0.1689,7.973164,1.3466487,86.67,H2AC6,H2A clustered histone 6,Upregulated,True
107987251,2.11e-13,2.15e-15,0.198,7.932111,1.5702615,54.01,LOC107987251,,Upregulated,True
7481,9.39e-13,1.08e-14,0.1431,-7.729135,-1.1062244,96.38,WNT11,Wnt family member 11,Downregulated,True
1958,1.14e-12,1.35e-14,0.2218,-7.700876,-1.708357,5763.12,EGR1,early growth response 1,Downregulated,True
107987374,3.79e-12,5.13e-14,0.1841,-7.528548,-1.3858312,56.98,LOC107987374,replaced by ID 100133545,Downregulated,True
100133545,6.85e-12,9.94e-14,0.1872,-7.441744,-1.393325,51.73,MRPL23-AS1,MRPL23 antisense RNA 1,Downregulated,True
150696,7.18e-12,1.05e-13,0.1458,7.43422,1.0836803,481.38,PROM2,prominin 2,Upregulated,True
81607,7.49e-12,1.11e-13,0.1846,7.426727,1.3712032,109.35,NECTIN4,nectin cell adhesion molecule 4,Upregulated,True
