GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description,Direction,Significant
3040,9.5e-11,1.76e-12,0.2979,-7.052344,-2.1006484,25.0,HBA2,hemoglobin subunit alpha 2,Downregulated,True
3039,1.4e-09,3.18e-11,0.2745,-6.637891,-1.8221768,29.52,HBA1,hemoglobin subunit alpha 1,Downregulated,True
100131551,0.000417,4.43e-05,0.441,-4.083633,-1.8009804,25.95,LINC00887,long intergenic non-protein coding RNA 887,Downregulated,True
401562,2.87e-05,2.1e-06,0.3762,-4.743859,-1.7844308,15.97,LCNL1,lipocalin like 1,Downregulated,True
79625,0.00032,3.24e-05,0.4283,-4.15615,-1.7800491,16.63,NDNF,neuron derived neurotrophic factor,Downregulated,True
105377205,0.000268,2.66e-05,0.4227,-4.201046,-1.7757956,9.49,LOC105377205,uncharacterized LOC105377205,Downregulated,True
104355220,4.91e-09,1.27e-10,0.2701,-6.430873,-1.7370218,23.74,LINC01219,long intergenic non-protein coding RNA 1219,Downregulated,True
1958,1.14e-12,1.35e-14,0.2218,-7.700876,-1.708357,5763.12,EGR1,early growth response 1,Downregulated,True
101929174,2e-08,5.82e-10,0.2606,-6.195279,-1.6147942,23.99,LOC101929174,uncharacterized LOC101929174,Downregulated,True
107987375,1.69e-08,4.82e-10,0.2591,-6.224748,-1.6130767,28.24,LOC107987375,replaced by ID 104355220,Downregulated,True
107984533,0.000242,2.37e-05,0.3798,-4.226861,-1.6052623,12.97,LOC107984533,uncharacterized LOC107984533,Downregulated,True
644242,0.00636,0.00114,0.4923,-3.252362,-1.601239,8.73,LINC00622,long intergenic non-protein coding RNA 622,Downregulated,True
2353,1.5999999999999999e-62,2.54e-66,0.0928,-17.20253,-1.5968291,430.28,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",Downregulated,True
100507194,0.00496,0.000842,0.4625,-3.33877,-1.5443196,11.46,LINC02525,long intergenic non-protein coding RNA 2525,Downregulated,True
171389,2.73e-07,1.09e-08,0.2699,-5.716146,-1.5426529,42.55,NLRP6,NLR family pyrin domain containing 6,Downregulated,True
10071,0.00128,0.000166,0.4072,-3.766265,-1.5337841,360.17,MUC12,"mucin 12, cell surface associated",Downregulated,True
6578,0.000402,4.25e-05,0.3717,-4.09319,-1.5213383,13.28,SLCO2A1,solute carrier organic anion transporter family member 2A1,Downregulated,True
105370491,1.68e-05,1.14e-06,0.3112,-4.865639,-1.5141201,23.05,LOC105370491,,Downregulated,True
100847035,4.79e-05,3.82e-06,0.3274,-4.621026,-1.5131452,22.77,MIR548AR,microRNA 548ar,Downregulated,True
2200,1.34e-09,3.04e-11,0.227,-6.644503,-1.5081122,126.69,FBN1,fibrillin 1,Downregulated,True
8529,0.000761,8.95e-05,0.3799,-3.917437,-1.4882925,19.37,CYP4F2,cytochrome P450 family 4 subfamily F member 2,Downregulated,True
3957,8.15e-06,4.9e-07,0.292,-5.030149,-1.4685645,19.39,LGALS2,galectin 2,Downregulated,True
8771,2.53e-19,1.1100000000000001e-21,0.1534,-9.565863,-1.467489,1334.52,TNFRSF6B,TNF receptor superfamily member 6b,Downregulated,True
2487,4.78e-05,3.8e-06,0.3166,-4.62205,-1.4633403,38.18,FRZB,frizzled related protein,Downregulated,True
105370363,2.18e-10,4.32e-12,0.2111,-6.926148,-1.4620349,66.0,LOC105370363,uncharacterized LOC105370363,Downregulated,True
51214,4.58e-06,2.55e-07,0.2827,-5.153948,-1.4567839,25.55,IGF2-AS,IGF2 antisense RNA,Downregulated,True
939,6.64e-08,2.21e-09,0.2404,-5.981603,-1.4379151,29.94,CD27,CD27 molecule,Downregulated,True
