GeneID,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean,Symbol,Description,Direction,Significant
255738,5.540000000000001e-75,2.9300000000000005e-79,0.0679,-18.850099,-1.2797748,1351.63,PCSK9,proprotein convertase subtilisin/kexin type 9,Downregulated,True
6721,4.32e-73,4.57e-77,0.0389,-18.581129,-0.7235806,6061.89,SREBF2,sterol regulatory element binding transcription factor 2,NS,False
2353,1.5999999999999999e-62,2.54e-66,0.0928,-17.20253,-1.5968291,430.28,FOS,"Fos proto-oncogene, AP-1 transcription factor subunit",Downregulated,True
84458,2.87e-51,6.0799999999999996e-55,0.0339,-15.611459,-0.5297822,4800.39,LCOR,ligand dependent nuclear receptor corepressor,NS,False
23764,4.71e-48,1.25e-51,0.0717,-15.117284,-1.0837796,516.66,MAFF,MAF bZIP transcription factor F,Downregulated,True
134429,1.07e-44,3.3999999999999997e-48,0.0765,-14.587049,-1.1159858,1080.89,STARD4,StAR related lipid transfer domain containing 4,Downregulated,True
6720,1.1299999999999999e-41,4.17e-45,0.0552,-14.093419,-0.7782471,6441.75,SREBF1,sterol regulatory element binding transcription factor 1,NS,False
23112,2.68e-40,1.1300000000000001e-43,0.0419,-13.858231,-0.5802956,4154.38,TNRC6B,trinucleotide repeat containing adaptor 6B,NS,False
151011,4.54e-39,2.16e-42,0.0365,-13.645077,-0.4981984,4237.29,SEPTIN10,septin 10,NS,False
94241,7.12e-39,3.7699999999999996e-42,0.0427,13.604503,0.5803536,2081.69,TP53INP1,tumor protein p53 inducible nuclear protein 1,NS,False
9021,1.54e-36,8.99e-40,0.0877,-13.198184,-1.1580714,873.75,SOCS3,suppressor of cytokine signaling 3,Downregulated,True
11156,2.65e-36,1.68e-39,0.0837,-13.150753,-1.1010061,484.42,PTP4A3,protein tyrosine phosphatase 4A3,Downregulated,True
440829,1.03e-35,7.08e-39,0.0443,-13.041793,-0.5774554,1165.63,SHISA8,shisa family member 8,NS,False
79834,1.13e-35,8.35e-39,0.0435,-13.029163,-0.5663372,3295.89,PEAK1,pseudopodium enriched atypical kinase 1,NS,False
552889,1.2600000000000001e-35,9.959999999999999e-39,0.0354,13.015706,0.4607225,3763.06,ATXN7L3B,ataxin 7 like 3B,NS,False
9334,1.14e-34,9.65e-38,0.054,12.841086,0.6929938,9646.48,B4GALT5,"beta-1,4-galactosyltransferase 5",NS,False
857,3.0599999999999997e-34,2.7500000000000003e-37,0.035,12.759719,0.4460986,8150.79,CAV1,caveolin 1,NS,False
113675,1.01e-33,9.57e-37,0.0719,12.662233,0.9109078,756.87,SDSL,serine dehydratase like,NS,False
54852,1.12e-33,1.12e-36,0.0543,-12.649682,-0.6866348,1227.06,PAQR5,progestin and adipoQ receptor family member 5,NS,False
25932,2.39e-33,2.53e-36,0.0393,-12.585739,-0.4946318,4710.45,CLIC4,chloride intracellular channel 4,NS,False
9703,1.74e-32,1.93e-35,0.0245,12.424276,0.3048435,10508.66,BLTP2,bridge-like lipid transfer protein family member 2,NS,False
8853,2.0800000000000002e-32,2.42e-35,0.0584,-12.406288,-0.7240511,1721.95,ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",NS,False
3162,1.92e-31,2.3399999999999998e-34,0.0735,12.223162,0.8979244,996.85,HMOX1,heme oxygenase 1,NS,False
22943,1.2599999999999999e-30,1.6e-33,0.1153,-12.066101,-1.3908821,3867.75,DKK1,dickkopf WNT signaling pathway inhibitor 1,Downregulated,True
9509,2.27e-30,3e-33,0.0909,-12.013968,-1.0922339,335.04,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,Downregulated,True
494470,2.78e-30,3.83e-33,0.0912,-11.993854,-1.0938426,294.12,RNF165,ring finger protein 165,Downregulated,True
4054,7.889999999999999e-30,1.1300000000000001e-32,0.0338,11.904094,0.4018749,8452.17,LTBP3,latent transforming growth factor beta binding protein 3,NS,False
57834,1.1800000000000001e-29,1.74e-32,0.0523,-11.867721,-0.6204973,698.48,CYP4F11,cytochrome P450 family 4 subfamily F member 11,NS,False
7015,2.53e-28,3.8900000000000003e-31,0.0704,-11.604973,-0.8172481,360.31,TERT,telomerase reverse transcriptase,NS,False
196527,1.0300000000000001e-27,1.63e-30,0.0556,-11.481809,-0.6389204,3062.39,ANO6,anoctamin 6,NS,False
652,1.48e-27,2.43e-30,0.0447,11.447138,0.5115494,6030.36,BMP4,bone morphogenetic protein 4,NS,False
11282,4.3e-27,7.28e-30,0.0505,11.351563,0.573699,4142.5,MGAT4B,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B",NS,False
2005,4.7600000000000004e-27,8.299999999999999e-30,0.0569,-11.340118,-0.6454364,3434.2,ELK4,ETS transcription factor ELK4,NS,False
55654,8.39e-27,1.51e-29,0.0438,11.287722,0.4949182,2166.66,TMEM127,transmembrane protein 127,NS,False
25921,1.2e-26,2.2100000000000002e-29,0.0327,11.254008,0.3676943,3867.78,ZDHHC5,zinc finger DHHC-type palmitoyltransferase 5,NS,False
10439,2.2e-26,4.19e-29,0.1124,-11.197519,-1.2583057,218.21,OLFM1,olfactomedin 1,Downregulated,True
6542,4.1500000000000003e-26,8.55e-29,0.0546,-11.134236,-0.6082344,1052.82,SLC7A2,solute carrier family 7 member 2,NS,False
144132,4.1500000000000003e-26,8.57e-29,0.0691,-11.133998,-0.7694873,963.52,DNHD1,dynein heavy chain domain 1,NS,False
29068,4.1500000000000003e-26,8.47e-29,0.0396,-11.135022,-0.4407115,1500.02,ZBTB44,zinc finger and BTB domain containing 44,NS,False
55333,6.96e-26,1.47e-28,0.0736,11.085659,0.8160581,1753.83,SYNJ2BP,synaptojanin 2 binding protein,NS,False
57509,8.77e-26,1.9e-28,0.0511,11.062754,0.5649626,7966.11,MTUS1,microtubule associated scaffold protein 1,NS,False
7087,9.71e-26,2.16e-28,0.0742,-11.051388,-0.8204956,1689.08,ICAM5,intercellular adhesion molecule 5,NS,False
602,1.54e-25,3.51e-28,0.0765,-11.007586,-0.8418651,807.41,BCL3,BCL3 transcription coactivator,NS,False
51809,2.02e-25,4.71e-28,0.0437,10.981163,0.4800898,1505.42,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7,NS,False
79646,2.34e-25,5.56e-28,0.0442,-10.966089,-0.4849782,4110.61,PANK3,pantothenate kinase 3,NS,False
3726,4.78e-25,1.1900000000000001e-27,0.0808,-10.897242,-0.8805239,3454.48,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit",NS,False
7538,4.78e-25,1.1900000000000001e-27,0.0937,-10.89733,-1.0208389,1692.05,ZFP36,ZFP36 ring finger protein,Downregulated,True
794,9.68e-25,2.46e-27,0.1072,-10.830837,-1.1611526,149.96,CALB2,calbindin 2,Downregulated,True
153222,1.66e-23,4.3000000000000005e-26,0.0723,-10.56555,-0.763811,481.28,CREBRF,CREB3 regulatory factor,NS,False
1019,1.9799999999999998e-23,5.25e-26,0.035,10.546951,0.3692835,4772.09,CDK4,cyclin dependent kinase 4,NS,False
1604,2.96e-23,7.99e-26,0.0673,-10.507403,-0.707286,1048.12,CD55,CD55 molecule (Cromer blood group),NS,False
4124,6.22e-23,1.71e-25,0.046,-10.43521,-0.4799105,2265.56,MAN2A1,mannosidase alpha class 2A member 1,NS,False
55876,6.98e-23,1.96e-25,0.0687,-10.422519,-0.7157623,1048.19,GSDMB,gasdermin B,NS,False
2629,2.77e-22,7.93e-25,0.0603,10.288677,0.6200671,1105.49,GBA1,glucosylceramidase beta 1,NS,False
57178,3.2e-22,9.32e-25,0.0334,-10.273083,-0.3432254,2376.71,ZMIZ1,zinc finger MIZ-type containing 1,NS,False
3572,3.8600000000000003e-22,1.1399999999999999e-24,0.0452,-10.253403,-0.4631518,2286.39,IL6ST,interleukin 6 cytokine family signal transducer,NS,False
50862,5.02e-22,1.52e-24,0.0348,10.226073,0.3558017,6481.71,RNF141,ring finger protein 141,NS,False
6319,1.05e-21,3.2199999999999997e-24,0.0864,-10.152795,-0.8769703,33470.03,SCD,stearoyl-CoA desaturase,NS,False
90271,1.08e-21,3.38e-24,0.1207,-10.148047,-1.2253253,685.64,OLMALINC,oligodendrocyte maturation-associated long intergenic non-coding RNA,Downregulated,True
10627,1.0900000000000001e-21,3.47e-24,0.0613,-10.145432,-0.6221728,3733.23,MYL12A,myosin light chain 12A,NS,False
1350,1.3600000000000001e-21,4.38e-24,0.0702,10.122845,0.7110102,4837.32,COX7C,cytochrome c oxidase subunit 7C,NS,False
9375,3.63e-21,1.19e-23,0.0315,10.024413,0.3160565,5763.13,TM9SF2,transmembrane 9 superfamily member 2,NS,False
9781,5.08e-21,1.69e-23,0.0501,-9.989581,-0.5009631,1157.43,RNF144A,ring finger protein 144A,NS,False
160851,6.3200000000000005e-21,2.1399999999999997e-23,0.0578,-9.966377,-0.5758196,1458.11,DGKH,diacylglycerol kinase eta,NS,False
9747,6.4e-21,2.2e-23,0.0444,-9.963509,-0.4426427,3348.8,TCAF1,TRPM8 channel associated factor 1,NS,False
91369,7.57e-21,2.64e-23,0.0351,9.945362,0.3490584,3888.54,ANKRD40,ankyrin repeat domain 40,NS,False
23270,8.04e-21,2.85e-23,0.0858,9.937783,0.8527674,740.73,TSPYL4,TSPY like 4,NS,False
57552,1.2e-20,4.3199999999999995e-23,0.0659,9.896283,0.6524264,868.75,NCEH1,neutral cholesterol ester hydrolase 1,NS,False
7052,1.3e-20,4.76e-23,0.0991,-9.886659,-0.9793405,731.59,TGM2,transglutaminase 2,NS,False
4638,1.41e-20,5.2299999999999995e-23,0.0713,-9.877132,-0.7046856,346.57,MYLK,myosin light chain kinase,NS,False
9674,1.75e-20,6.57e-23,0.0885,-9.854209,-0.8724027,3839.11,KIAA0040,KIAA0040,NS,False
3638,1.9e-20,7.24e-23,0.1321,-9.844535,-1.3000199,1204.9,INSIG1,insulin induced gene 1,Downregulated,True
79837,2.17e-20,8.37e-23,0.0517,9.829871,0.5086184,2720.92,PIP4K2C,phosphatidylinositol-5-phosphate 4-kinase type 2 gamma,NS,False
4241,2.26e-20,8.849999999999999e-23,0.046,-9.824278,-0.4523687,1935.08,MELTF,melanotransferrin,NS,False
3017,2.96e-20,1.17e-22,0.1407,9.795881,1.3785912,209.13,H2BC5,H2B clustered histone 5,Upregulated,True
