Date,Country/Region,Country_Code,Confirmed,Deaths,New_Cases,New_Deaths,New_Cases_7Day_Avg,Mortality_Rate_%
2020-01-22,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-23,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-24,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-25,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-26,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-27,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-28,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-29,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-30,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-01-31,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-01,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-02,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-03,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-04,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-05,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-06,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-07,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-08,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-09,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-10,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-11,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-12,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-13,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-14,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-15,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-16,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-17,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-18,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-19,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-20,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-21,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-22,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-23,Afghanistan,AFG,0,0,0.0,0.0,0.0,0.0
2020-02-24,Afghanistan,AFG,1,0,1.0,0.0,0.14285714285714285,0.0
2020-02-25,Afghanistan,AFG,1,0,0.0,0.0,0.14285714285714285,0.0
2020-02-26,Afghanistan,AFG,1,0,0.0,0.0,0.14285714285714285,0.0
